﻿时间,收盘点位,市值,流通市值,PB(加权平均值),PB分位点(加权平均值),PB危险值(加权平均值),PB中位值(加权平均值),PB机会值(加权平均值)
2019-06-14,8186.54,26819862563122.59,19718176160178,1.2635,0.1768,2.1146,1.4757,1.2779
2019-06-13,8242.6,26967880251717.3,19829476077930,1.27,0.1851,2.1146,1.4758,1.2779
2019-06-12,8246.76,27012882562365.4,19844674484647,1.2721,0.1888,2.1207,1.4758,1.2779
2019-06-11,8300.29,27172071273469,19951484030221,1.2795,0.2036,2.1208,1.4758,1.2782
2019-06-10,8073.01,26637340235012.496,19544091981275,1.2519,0.1629,2.1212,1.4762,1.2782
2019-06-06,7978.57,26392546285062.605,19342043345102,1.2403,0.1382,2.1219,1.4769,1.2784
2019-06-05,8035.06,26552399376348.492,19463912424692,1.2478,0.1538,2.1222,1.4769,1.2785
2019-06-04,8038.39,26512470980930.707,19451019729890,1.2458,0.1505,2.1237,1.477,1.2786
2019-06-03,8106.39,26652512864947.61,19571675054132,1.2524,0.162,2.1242,1.4771,1.2786
2019-05-31,8092.02,26609408289666.594,19539326955084,1.2472,0.1521,2.1249,1.4779,1.2788
2019-05-30,8123.6,26730459318602.305,19637292617041,1.252,0.1612,2.1262,1.4785,1.2788
2019-05-29,8164.69,26792000095152.51,19679381454928,1.2549,0.1654,2.1262,1.4785,1.279
2019-05-28,8168.02,26795259667452.906,19693301401059,1.2549,0.165,2.1262,1.4785,1.2795
2019-05-27,8093.38,26589068173611.906,19518366165332,1.2449,0.1502,2.1279,1.4799,1.2799
2019-05-24,8010.02,26378509850446.902,19354275133692,1.2345,0.1205,2.1333,1.4801,1.2801
2019-05-23,7985.03,26298085447358.22,19298052217666,1.2306,0.1148,2.1333,1.4802,1.2804
2019-05-22,8102.57,26589957731106.504,19517096751710,1.243,0.1453,2.1356,1.4808,1.2804
2019-05-21,8138.16,26693748754015.9,19594725222114,1.2478,0.1519,2.1388,1.4811,1.2811
2019-05-20,8047.99,26447095740641.895,19414148738269,1.2363,0.1255,2.1395,1.4826,1.2814
2019-05-17,8102.99,26499057394634.395,19475847600529,1.2387,0.132,2.1459,1.4832,1.2816
2019-05-16,8300.35,27033282635726.996,19865094579533,1.2637,0.1704,2.1459,1.4834,1.2816
2019-05-15,8257.31,26916469396020.293,19767095470064,1.2582,0.1654,2.1465,1.4836,1.2818
2019-05-14,8086.88,26448523934548.805,19417067432192,1.2362,0.1243,2.1481,1.4845,1.2818
2019-05-13,8139.48,26605245169755.992,19531821827758,1.2435,0.1449,2.1482,1.4848,1.2819
