﻿时间,收盘点位,市值,流通市值,PB(加权平均值),PB分位点(加权平均值),PB危险值(加权平均值),PB中位值(加权平均值),PB机会值(加权平均值)
2019-06-14,8186.54,26819862563122.59,19718176160178,1.2635,0.1044,2.7848,1.9437,1.3466
2019-06-13,8242.6,26967880251717.3,19829476077930,1.27,0.1093,2.7848,1.9449,1.3466
2019-06-12,8246.76,27012882562365.4,19844674484647,1.2721,0.1115,2.7871,1.9451,1.3466
2019-06-11,8300.29,27172071273469,19951484030221,1.2795,0.1203,2.7871,1.9453,1.3467
2019-06-10,8073.01,26637340235012.496,19544091981275,1.2519,0.0962,2.7871,1.9455,1.3474
2019-06-06,7978.57,26392546285062.605,19342043345102,1.2403,0.0817,2.7871,1.9456,1.3474
2019-06-05,8035.06,26552399376348.492,19463912424692,1.2478,0.0909,2.7871,1.9456,1.348
2019-06-04,8038.39,26512470980930.707,19451019729890,1.2458,0.089,2.7884,1.9457,1.348
2019-06-03,8106.39,26652512864947.61,19571675054132,1.2524,0.0958,2.7884,1.9458,1.3483
2019-05-31,8092.02,26609408289666.594,19539326955084,1.2472,0.09,2.7884,1.9459,1.3484
2019-05-30,8123.6,26730459318602.305,19637292617041,1.252,0.0954,2.7884,1.9474,1.3485
2019-05-29,8164.69,26792000095152.51,19679381454928,1.2549,0.0979,2.7884,1.9488,1.3489
2019-05-28,8168.02,26795259667452.906,19693301401059,1.2549,0.0976,2.7886,1.9489,1.3489
2019-05-27,8093.38,26589068173611.906,19518366165332,1.2449,0.0889,2.7886,1.949,1.3492
2019-05-24,8010.02,26378509850446.902,19354275133692,1.2345,0.0714,2.7886,1.9491,1.3495
2019-05-23,7985.03,26298085447358.22,19298052217666,1.2306,0.068,2.7886,1.9493,1.3496
2019-05-22,8102.57,26589957731106.504,19517096751710,1.243,0.086,2.7886,1.9495,1.3496
2019-05-21,8138.16,26693748754015.9,19594725222114,1.2478,0.09,2.789,1.9496,1.3496
2019-05-20,8047.99,26447095740641.895,19414148738269,1.2363,0.0744,2.789,1.9497,1.3497
2019-05-17,8102.99,26499057394634.395,19475847600529,1.2387,0.0783,2.789,1.9498,1.3498
2019-05-16,8300.35,27033282635726.996,19865094579533,1.2637,0.101,2.789,1.9499,1.3504
2019-05-15,8257.31,26916469396020.293,19767095470064,1.2582,0.0981,2.789,1.95,1.3509
2019-05-14,8086.88,26448523934548.805,19417067432192,1.2362,0.0737,2.7894,1.9503,1.3509
2019-05-13,8139.48,26605245169755.992,19531821827758,1.2435,0.0859,2.7894,1.9507,1.351
2019-05-10,8282.09,27020403466476.8,19834173369541,1.2629,0.1001,2.7894,1.9515,1.3511
2019-05-09,8000.2,26258601293821.895,19266334468840,1.2273,0.066,2.7894,1.9523,1.3513
2019-05-08,8154,26698283119317.914,19590006569185,1.2477,0.0884,2.7894,1.9526,1.3515
2019-05-07,8283.6,27093887425059.605,19823276527673,1.2662,0.1014,2.7896,1.9529,1.3515
2019-05-06,8240.22,27020471396345.5,19763126856535,1.2626,0.0995,2.7896,1.9529,1.3516
2019-04-30,8702.26,28380089355392.113,20730546798517,1.326,0.1702,2.7896,1.9529,1.3516
2019-04-29,8673.13,28320140609603.008,20671386868291,1.3496,0.1974,2.7896,1.953,1.3517
2019-04-26,8617.25,28155549575788.69,20538761929697,1.3495,0.1969,2.7896,1.9531,1.3519
2019-04-25,8724.47,28461463008810.31,20776866274439,1.3706,0.2227,2.7917,1.9532,1.3519
2019-04-24,8895.32,28974395073322.3,21154114297351,1.3982,0.2479,2.7917,1.9532,1.3519
2019-04-23,8886.28,28990484290129.21,21160373420678,1.402,0.2509,2.7917,1.9539,1.3519
2019-04-22,8887.02,29004592423542.2,21066978933468,1.4036,0.252,2.7917,1.9545,1.3519
2019-04-19,9092.91,29645188461113.504,21510928466376,1.4387,0.2657,2.7917,1.9551,1.3519
2019-04-18,9004.3,29423908042796.203,21332806250543,1.4305,0.2631,2.792,1.9558,1.3517
2019-04-17,9029.68,29551397471577.91,21423681090786,1.4368,0.2646,2.792,1.956,1.3517
2019-04-16,9037.24,29505589944506.996,21415084371494,1.435,0.264,2.792,1.9562,1.3517
2019-04-15,8784.64,28671936699123.3,20848154647937,1.3951,0.2459,2.792,1.9567,1.3517
2019-04-12,8807.15,28654075216755.305,20800143004110,1.3943,0.2447,2.792,1.9573,1.3517
2019-04-11,8824.34,28670776843763.99,20813232913446,1.3956,0.246,2.7938,1.9573,1.3516
2019-04-10,8984.23,29091779972965.21,21127681647344,1.4161,0.2579,2.7938,1.9574,1.3516
2019-04-09,8960.03,29079612757135.21,21094088858666,1.4156,0.2572,2.7938,1.9574,1.3516
2019-04-08,8959.03,29167153322397.5,21157542512895,1.4198,0.2597,2.7938,1.9575,1.3516
2019-04-04,8957.27,29156026613844.508,21115592180001,1.419,0.259,2.7938,1.9576,1.3516
2019-04-03,8864.67,28787048637007.9,20847136765392,1.401,0.2505,2.7939,1.9576,1.3516
2019-04-02,8739.2,28435974623791.79,20592573857402,1.3839,0.237,2.7939,1.9579,1.3516
