﻿时间,收盘点位,市值,流通市值,PB(加权平均值),PB分位点(加权平均值),PB危险值(加权平均值),PB中位值(加权平均值),PB机会值(加权平均值)
2019-06-14,8186.54,26819862563122.59,19718176160178,1.2635,0.1044,2.7848,1.9437,1.3466
2019-05-31,8092.02,26609408289666.594,19539326955084,1.2472,0.09,2.7884,1.9459,1.3484
2019-04-30,8702.26,28380089355392.113,20730546798517,1.326,0.1702,2.7896,1.9529,1.3516
2019-03-29,8533.62,27840038528473.598,20190897928607,1.3657,0.2192,2.7939,1.9588,1.3516
2019-02-28,8173.6,27271753122164.51,19702496046939,1.355,0.2043,2.797,1.9678,1.3517
2019-01-31,7241.96,24663647514317.293,17856722928085,1.2255,0.0647,2.8016,1.9764,1.3527
2018-12-28,6808.8,23232683479691.6,16860871154517,1.1544,0.0155,2.8106,1.9807,1.3559
2018-11-30,7141,23396742753979.19,17128195017076,1.1678,0.021,2.8159,1.9869,1.3597
2018-10-31,7150.2,23975448021314.305,17472526979951,1.1968,0.0315,2.8207,1.9947,1.3637
2018-09-28,7699.02,25476931893876.902,18663955116007,1.3399,0.1686,2.8274,2.0017,1.3669
2018-08-31,7371.18,24185338734084.082,17727486243242,1.2694,0.0839,2.8351,2.0091,1.3714
2018-07-31,7693.16,25013864979954.812,18371384472161,1.3389,0.1596,2.8386,2.0124,1.3756
2018-06-29,7571.95,24370686129637.09,17915279936881,1.2849,0.0944,2.8398,2.0266,1.379
2018-05-31,8148.46,25555196636274.902,18908437195238,1.3371,0.1523,2.8422,2.0378,1.385
2018-04-27,8075.31,25686040184212.8,18843897184680,1.3557,0.1696,2.8445,2.0478,1.3916
2018-03-30,8304.42,26251378807402.594,19185121355701,1.4075,0.2072,2.8451,2.0571,1.3961
2018-02-28,8624.61,27544993494032.695,20058213898086,1.5019,0.2604,2.8484,2.0641,1.3934
2018-01-31,9269.75,29873679003462.305,21587839887089,1.6293,0.3277,2.8516,2.0678,1.3923
2017-12-29,8647.03,27137940369331.004,19720503011429,1.4802,0.2468,2.855,2.0781,1.3901
2017-11-30,8673.72,26529280156429.684,19387974319088,1.4604,0.2303,2.8609,2.0845,1.3889
2017-10-31,8592.63,26518893195558.105,19305141064308,1.4607,0.2311,2.8698,2.0946,1.3851
2017-09-29,8297.7,25707193814542.703,18719813851247,1.4949,0.2489,2.8774,2.1053,1.3843
2017-08-31,8359.33,25974387649316.6,18877494274537,1.504,0.2528,2.884,2.1136,1.3813
2017-07-31,8161.84,25289197220895.703,18375070530368,1.4826,0.2421,2.8898,2.1208,1.3808
2017-06-30,7900.35,24264006006600.305,17635547020096,1.3975,0.2105,2.8908,2.127,1.3785
2017-05-31,7644.96,23406023584934.7,17334442225036,1.3574,0.1798,2.8948,2.142,1.384
2017-04-28,7438.38,22599670742440.1,16779350826486,1.3304,0.1516,2.9011,2.1472,1.3934
2017-03-31,7491.94,22612018227577.496,16838717117717,1.3602,0.1758,2.9018,2.1521,1.4021
2017-02-28,7548.37,22675036806986.707,16871342471018,1.3808,0.1846,2.9058,2.1579,1.4138
2017-01-26,7459.74,22381661146437.6,16679292012770,1.3644,0.1781,2.9101,2.1612,1.43
2016-12-30,7224.6,21396228397296.4,15948065218091,1.308,0.1268,2.9143,2.165,1.4452
2016-11-30,7635.95,22411936621621.2,16806489742249,1.348,0.1602,2.9201,2.1694,1.4565
2016-10-31,7169.72,21122758683460.094,15804854474076,1.2706,0.0917,2.9223,2.1775,1.4728
2016-09-30,6958.5,20522553830614,15339359839170,1.2995,0.114,2.9227,2.1836,1.4871
2016-08-31,7138.27,21060607450731.305,15744119566934,1.3337,0.1426,2.9252,2.1905,1.5002
2016-07-29,6913.5,20296271972718.51,15186778732436,1.3037,0.1169,2.9301,2.195,1.513
2016-06-30,6735.89,19877315099444.6,14873913952841,1.2535,0.0868,2.9378,2.1979,1.5256
2016-05-31,6823.75,19945235805155.105,15005994108165,1.242,0.0743,2.9503,2.2039,1.5357
2016-04-29,6799.63,19842937528862.2,14907666148710,1.2461,0.0714,2.9524,2.207,1.5449
2016-03-31,6921.88,20217085877801.2,15185358780791,1.309,0.1054,2.9573,2.2101,1.55
2016-02-29,6205.37,18332400382449.11,13737781705709,1.2148,0.0467,2.9683,2.214,1.5569
2016-01-29,6308.48,18713069855058.105,13953814577876,1.2402,0.0648,2.9701,2.2174,1.5617
2015-12-31,7995.77,23089603790323.293,17167970567607,1.5361,0.1759,2.974,2.2206,1.5704
2015-11-30,7728.44,22137609229268.1,16638610737896,1.4917,0.1572,2.9798,2.2251,1.5781
2015-10-30,7685.71,22043576482330.902,16629133241499,1.5073,0.1625,2.9815,2.2305,1.5892
2015-09-30,7030.86,20417086347711.3,15314825497550,1.4466,0.1451,2.9843,2.2349,1.6051
2015-08-31,7334.36,21193753026912.39,15925735399392,1.5002,0.1582,2.9895,2.2404,1.6216
2015-07-31,8282.52,24240580448054.797,18085755889480,1.753,0.2593,2.9927,2.244,1.6231
2015-06-30,9723.85,27798201202709.5,20690973786813,1.961,0.3569,2.9954,2.2485,1.6189
2015-05-29,10535.54,27193715370458.895,20695114591088,1.9678,0.3606,2.9983,2.2505,1.6127
2015-04-30,10608.55,28504497878260.203,21761579964414,2.0601,0.3931,3.0075,2.2534,1.6089
2015-03-31,8972.9,24340494843469.504,18471845816459,1.858,0.3204,3.0101,2.2563,1.6054
2015-02-27,7947.05,22118108558009.8,16537319679494,1.7472,0.2625,3.015,2.2598,1.5991
2015-01-30,7667.46,21714116226971.098,16177109312195,1.7176,0.2454,3.016,2.2633,1.5951
2014-12-31,8044.5,22432456579341.49,16507246873060,1.7744,0.2721,3.0177,2.2672,1.5913
2014-11-28,6222.95,16945890691682.004,12549407066496,1.3537,0.1208,3.0229,2.2702,1.6047
2014-10-31,5478.62,14990214822585.8,11156143684592,1.1983,0.0411,3.0276,2.2725,1.6216
2014-09-30,5341.61,14605398697765.1,10885311938808,1.2421,0.0639,3.0332,2.2763,1.6292
2014-08-29,5107.1,14148646768888.1,10435745088441,1.202,0.042,3.0407,2.2794,1.6392
2014-07-31,5155.06,14283621826984.2,10516042925113,1.2517,0.0566,3.0442,2.284,1.651
2014-06-30,4729.21,13327680395277.3,9791634559942,1.1427,0.0141,3.0496,2.2913,1.6637
2014-05-30,4711.72,13279292193523.7,9788388467244,1.1068,0.0052,3.0569,2.2985,1.689
2014-04-30,4726.88,13157786107393.402,9721189191607,1.0966,0,3.0625,2.3033,1.7057
2014-03-31,4694.38,13138597207167.799,9692560502273,1.1514,0.0021,3.064,2.307,1.7231
2014-02-28,4732.96,13164430340513.6,9735307282324,1.181,0.0032,3.0664,2.3136,1.7382
2014-01-30,4782.29,13124121185138.1,9649385819762,1.1779,0.0014,3.0715,2.3204,1.746
2013-12-31,5040.27,13764270885526.998,10092737947812,1.2371,0.0054,3.0735,2.3299,1.761
2013-11-29,5295.08,14277408660843.799,10419501953402,1.2795,0.0148,3.0799,2.3389,1.7692
2013-10-31,5127.42,13858469194722.402,10109843139431,1.242,0.0015,3.0842,2.3465,1.7835
2013-09-30,5213.53,13939214823206.299,10145170392403,1.3096,0.0179,3.0866,2.3517,1.7923
2013-08-30,5013.33,13562437967179.697,9861175292999,1.2737,0.0037,3.0906,2.3566,1.8001
2013-07-31,4749.83,13180635213505.498,9514191427785,1.2758,0.0045,3.0972,2.3648,1.8098
2013-06-28,4788.85,13183232886379.395,8896998953237,1.2526,0.0015,3.1036,2.3751,1.8203
2013-05-31,5649.97,15189770736612.803,10287150846167,1.3961,0.0151,3.1082,2.3797,1.8279
2013-04-26,5337.29,14665086942266.195,9891630057654,1.3809,0.0069,3.1127,2.3916,1.8475
2013-03-29,5421.62,14941396737622.096,10073744983717,1.4458,0.0218,3.1142,2.3971,1.8715
2013-02-28,5845.61,15851795963708.9,10699680308652,1.5817,0.0622,3.1179,2.4043,1.8851
2013-01-31,5910.27,16224445057052.7,10855846644732,1.6189,0.0711,3.1201,2.4114,1.8954
2012-12-31,5550.09,15343025012544.7,10384054743297,1.5346,0.0407,3.1244,2.4195,1.9087
2012-11-30,4666.74,13442503593060.402,8957536998186,1.3451,0.0008,3.1271,2.4253,1.9226
2012-10-31,4857.81,13727500330203.398,9162427710961,1.3747,0,3.1304,2.4313,1.9315
2012-09-28,4934.33,13808862188533.898,9258594282195,1.4432,0.0072,3.1365,2.4365,1.9493
2012-08-31,4750.23,13554139689608.998,9035621038354,1.4115,0,3.1457,2.443,1.9619
2012-07-31,4996.97,13904905138414.1,9284706137994,1.5206,0.0008,3.1463,2.4503,1.9822
2012-06-29,5279.95,14250947361562.598,9543632366010,1.5645,0.0021,3.1529,2.4547,1.9984
2012-05-31,5632.06,15106124468150.2,10141861507605,1.6025,0.0029,3.1573,2.46,2.0107
2012-04-27,5630.8,15429156647317.098,10312026495032,1.6748,0.026,3.1617,2.4682,2.0295
2012-03-30,5262.41,14717968955247.5,9771765612789,1.6383,0.0122,3.1676,2.4738,2.0466
2012-02-29,5649.05,15651184629610.299,10449762408483,1.8114,0.0848,3.1737,2.4805,2.0629
2012-01-31,5321.34,15035704258640.4,9974732874863,1.7409,0.0434,3.1847,2.4864,2.0773
2011-12-30,5009.29,14237712234737.8,9449680416934,1.6432,0.0143,3.1881,2.4938,2.0857
2011-11-30,5315.46,14588125868947.695,9618676324129,1.6892,0.0179,3.1906,2.5035,2.109
2011-10-31,5704.49,15414640948959.006,10162966443650,1.7841,0.041,3.2069,2.5171,2.1208
2011-09-30,5402.77,14600771432685.203,9640607101838,1.7524,0.0302,3.2103,2.5233,2.1386
