﻿时间,收盘点位,市值,流通市值,PB(加权平均值),PB分位点(加权平均值),PB危险值(加权平均值),PB中位值(加权平均值),PB机会值(加权平均值)
2019-06-14,8186.54,26819862563122.59,19718176160178,1.2635,0.186,1.4659,1.3463,1.2694
2019-06-06,7978.57,26392546285062.605,19342043345102,1.2403,0.126,1.4659,1.3466,1.268
2019-05-31,8092.02,26609408289666.594,19539326955084,1.2472,0.1534,1.4659,1.3466,1.268
2019-05-24,8010.02,26378509850446.902,19354275133692,1.2345,0.1123,1.4659,1.3466,1.268
2019-05-17,8102.99,26499057394634.395,19475847600529,1.2387,0.1329,1.4659,1.3466,1.268
2019-05-10,8282.09,27020403466476.8,19834173369541,1.2629,0.1904,1.4659,1.3466,1.268
2019-04-30,8702.26,28380089355392.113,20730546798517,1.326,0.4041,1.4659,1.3466,1.268
2019-04-26,8617.25,28155549575788.69,20538761929697,1.3495,0.5164,1.4659,1.3457,1.267
2019-04-19,9092.91,29645188461113.504,21510928466376,1.4387,0.7678,1.4659,1.3441,1.267
2019-04-12,8807.15,28654075216755.305,20800143004110,1.3943,0.7268,1.4659,1.343,1.267
2019-04-04,8957.27,29156026613844.508,21115592180001,1.419,0.7596,1.4659,1.3408,1.267
2019-03-29,8533.62,27840038528473.598,20190897928607,1.3657,0.6325,1.4659,1.3399,1.267
2019-03-22,8450.75,27792395269971.51,20123227085254,1.3768,0.6844,1.4659,1.3399,1.267
2019-03-15,8276.99,27367669157610.2,19776400189730,1.357,0.5929,1.4659,1.3382,1.267
2019-03-08,8095.88,26939418763903.707,19430262055474,1.3365,0.5027,1.4659,1.3352,1.267
2019-03-01,8367.78,27892889625721.8,20159479842635,1.3858,0.7213,1.4659,1.3337,1.267
2019-02-22,7834.79,26124519375843.594,18902704101766,1.298,0.3124,1.4642,1.3326,1.2654
2019-02-15,7451.41,25083890571003.395,18153927278759,1.2464,0.1705,1.4642,1.3326,1.26
2019-02-01,7319.48,24845296599968.297,17993697659237,1.2346,0.1364,1.4642,1.3326,1.2581
2019-01-25,7186.74,24369399071195.2,17659009255639,1.2109,0.1037,1.4642,1.3326,1.2594
2019-01-18,7148.47,24163804449117.2,17529591183381,1.2007,0.0709,1.4642,1.3329,1.2654
2019-01-11,6980.11,23633195901648.09,17156005130902,1.1743,0.0355,1.4642,1.3336,1.268
2019-01-04,6875.22,23381211187580.703,16968551496641,1.1618,0.015,1.4659,1.3351,1.2702
2018-12-28,6808.8,23232683479691.6,16860871154517,1.1544,0.0027,1.4691,1.3371,1.2724
2018-12-21,6846.11,23363362528554,16935631574203,1.1609,0.0027,1.4701,1.3389,1.2754
2018-12-14,7132.32,23421936069872,17224047455654,1.169,0.0109,1.4712,1.3408,1.2779
2018-12-07,7164.41,23460361947980.895,17241026374680,1.171,0.0095,1.4739,1.3429,1.279
2018-11-30,7141,23396742753979.19,17128195017076,1.1678,0.0054,1.4757,1.3438,1.2818
2018-11-23,7074.21,23262113866770.406,17023357700608,1.1611,0,1.4769,1.3452,1.283
2018-11-16,7300.56,23878973160723.6,17489992466813,1.1919,0.0068,1.48,1.3467,1.2849
2018-11-09,7136.16,23588402226830.703,17270675167881,1.1772,0,1.4834,1.3485,1.2869
2018-11-02,7414.9,24567725216065.203,17940047097849,1.2261,0.0395,1.4852,1.3498,1.2878
2018-10-26,7176.01,24071089176090.6,17514461218695,1.25,0.0954,1.488,1.3515,1.2895
2018-10-19,7075.65,23660862965836.094,17279279497559,1.2442,0.0845,1.4885,1.3521,1.2909
2018-10-12,7145.16,23885024872700.19,17490751427721,1.2561,0.0981,1.4909,1.3528,1.2945
2018-09-28,7699.02,25476931893876.902,18663955116007,1.3399,0.4264,1.4912,1.3544,1.2964
2018-09-21,7614.87,25173478699716.895,18421179459520,1.3246,0.3524,1.4917,1.3555,1.2964
2018-09-14,7219.54,23857122796110.39,17483945409484,1.2542,0.0912,1.4931,1.3573,1.2978
2018-09-07,7276.07,23904471756470.695,17513774493259,1.2554,0.0857,1.4943,1.3584,1.2989
2018-08-31,7371.18,24185338734084.082,17727486243242,1.2694,0.1023,1.4951,1.3599,1.3011
2018-08-24,7357.13,24102414582239.203,17683236423365,1.2868,0.1473,1.4953,1.361,1.3017
2018-08-17,7116.38,23361081096767.703,17165708059051,1.2479,0.0764,1.4989,1.3621,1.3024
2018-08-10,7495.29,24446227550313.2,17965945343983,1.3082,0.2306,1.5002,1.3641,1.3036
2018-08-03,7298.42,23902481075480.402,17527863860733,1.2782,0.1132,1.5014,1.3651,1.3037
2018-07-27,7666.44,24799272015736.996,18236354434887,1.3276,0.3165,1.5026,1.3663,1.3041
2018-07-20,7574.7,24420705238473.793,17923210170325,1.3062,0.2115,1.504,1.3681,1.3041
2018-07-13,7547.29,24420229888088.2,17888860672057,1.2966,0.1555,1.5048,1.3695,1.3045
2018-07-06,7315.6,23758175972903.8,17447535668110,1.2478,0.075,1.5062,1.371,1.3069
2018-06-29,7571.95,24370686129637.09,17915279936881,1.2849,0.116,1.5088,1.3723,1.3082
2018-06-22,7811.23,25111132691363.312,18342810842061,1.3217,0.2664,1.5111,1.3735,1.309
2018-06-15,8089.77,25989491986030.496,18911129956949,1.3644,0.4475,1.513,1.3748,1.3094
2018-06-08,8103.96,25346479524670.1,18786491471406,1.3327,0.3097,1.5161,1.3763,1.3094
2018-06-01,8092.93,25432220124881.6,18820844685011,1.3308,0.3001,1.5199,1.3783,1.3094
2018-05-25,8192.91,25849418510789.695,19055707404285,1.352,0.3738,1.5232,1.3799,1.3094
2018-05-18,8367.67,26629925421754.797,19578781859022,1.3879,0.5102,1.5267,1.3824,1.3094
2018-05-11,8303.72,26394522046136.613,19376515664438,1.3756,0.4775,1.5299,1.384,1.3094
2018-05-04,8096.47,25677836495793.504,18866501218790,1.3382,0.322,1.5338,1.3892,1.3094
2018-04-27,8075.31,25686040184212.8,18843897184680,1.3557,0.3869,1.537,1.391,1.3094
2018-04-20,8058.14,25480251729031.605,18706642233824,1.3635,0.4128,1.5454,1.3937,1.3094
2018-04-13,8282.92,26157659685718.703,19160516064983,1.4004,0.5027,1.55,1.3984,1.3094
2018-04-04,8229.34,25813977941041.99,18952924497534,1.3837,0.4761,1.5535,1.3989,1.3094
2018-03-30,8304.42,26251378807402.594,19185121355701,1.4075,0.5007,1.5569,1.4073,1.3094
2018-03-23,8400.03,26709002250104.11,19523263006804,1.4515,0.5143,1.5618,1.418,1.3094
2018-03-16,8660.53,27346713443546.7,19973545636802,1.4872,0.6204,1.5696,1.418,1.3094
2018-03-09,8757.13,27719892107505.004,20175609468253,1.5096,0.698,1.5728,1.418,1.3094
2018-03-02,8597.54,27416439927849.906,19968716994547,1.4931,0.6381,1.5768,1.418,1.3094
2018-02-23,8789.26,28245979162890.113,20502491415573,1.5402,0.7462,1.5781,1.4125,1.3094
2018-02-14,8549.61,27400713055062.305,19873932731961,1.4941,0.6398,1.5851,1.4125,1.3094
2018-02-09,8347.69,26951071969944.797,19537857127523,1.4699,0.5551,1.6007,1.418,1.3094
2018-02-02,9304.59,30191970953452.91,21839169108514,1.6467,0.8109,1.6122,1.418,1.3094
2018-01-26,9451.74,30389083554515.797,21955888125774,1.6574,0.8109,1.6122,1.418,1.3094
2018-01-19,9252.56,29557273842532.61,21386046269881,1.6122,0.8,1.6122,1.418,1.3094
2018-01-12,9054.9,28341389548146.3,20688065735307,1.5459,0.7415,1.6658,1.418,1.3094
2018-01-05,8872.13,27776158531483.004,20251815018958,1.5151,0.6939,1.6856,1.418,1.3094
2017-12-29,8647.03,27137940369331.004,19720503011429,1.4802,0.5981,1.6969,1.4179,1.3094
2017-12-22,8695.62,26952443155649,19668111366433,1.4737,0.5668,1.6969,1.4179,1.3094
2017-12-15,8558.85,26479046175232.797,19354828281651,1.4478,0.5095,1.6969,1.4179,1.3094
2017-12-08,8661.09,26415368104785.707,19328709379668,1.4539,0.5163,1.6969,1.4179,1.3094
2017-12-01,8641.77,26402459070165.094,19323708984950,1.4534,0.5177,1.6969,1.4071,1.3094
2017-11-24,8844.7,27024382159617.508,19750018507157,1.488,0.5954,1.6969,1.3969,1.3088
2017-11-17,8882.91,26961800095621.6,19741355548509,1.4845,0.5913,1.6969,1.391,1.3076
2017-11-10,8782.39,26700188116833.4,19512610102372,1.4701,0.5613,1.6969,1.389,1.3058
2017-11-03,8585.78,26491252499541.203,19315913013687,1.4591,0.5504,1.6969,1.3811,1.3041
2017-10-27,8646.36,26515152217058.41,19360343921954,1.5243,0.6894,1.6969,1.3782,1.3036
2017-10-20,8465.88,26209055702287.31,19097407473642,1.5231,0.6907,1.6969,1.3761,1.3024
2017-10-13,8414.46,25948158723870.41,18907330887605,1.5088,0.6785,1.6969,1.3736,1.3017
2017-09-29,8297.7,25707193814542.703,18719813851247,1.4949,0.6444,1.6969,1.373,1.2992
2017-09-22,8306.63,25738846278653.4,18726441686650,1.4972,0.6526,1.6969,1.371,1.2983
2017-09-15,8299.18,25600149677088.7,18645228490915,1.488,0.6376,1.6969,1.3689,1.2959
2017-09-08,8330.95,25851737815224.51,18796406824116,1.5015,0.6671,1.6969,1.3667,1.2944
2017-09-01,8373.46,25841490234167.594,18803046137615,1.5014,0.6726,1.6969,1.3653,1.2903
2017-08-25,8307.35,25979774978397.19,18902693240686,1.5196,0.6958,1.6969,1.3634,1.2887
2017-08-18,8111.77,25149761501804.797,18334197389724,1.4753,0.633,1.6969,1.361,1.2842
2017-08-11,7977.68,24816147071198.695,18104287301412,1.4553,0.6207,1.6969,1.3596,1.2816
2017-08-04,8128.7,25314627078843.805,18407091179684,1.4852,0.6562,1.6969,1.3578,1.2779
2017-07-28,8126.12,25243165599663.703,18330734454990,1.48,0.6562,1.6969,1.3554,1.2752
2017-07-21,8122.89,25050641736888.7,18259761595373,1.4691,0.648,1.6969,1.3538,1.2682
2017-07-14,8055.13,24744285091603.613,18017394636657,1.4479,0.6426,1.6969,1.3528,1.26
2017-07-07,7904.43,24314461424520.508,17703942780483,1.404,0.6344,1.6969,1.3517,1.2539
2017-06-30,7900.35,24264006006600.305,17635547020096,1.3975,0.6344,1.6969,1.3498,1.2515
2017-06-23,7814.14,24124157654516.1,17496004110121,1.3829,0.6248,1.6969,1.3483,1.2496
2017-06-16,7619.86,23589759374224.305,17115193804360,1.3511,0.5184,1.6969,1.3459,1.2476
2017-06-09,7776.83,23569868071180.906,17513250773166,1.3672,0.5839,1.6969,1.3444,1.2435
2017-06-02,7635.94,23416248676865.3,17348418691230,1.358,0.5546,1.6996,1.3432,1.2419
2017-05-26,7615.43,23305744648884.51,17253640324115,1.3516,0.5341,1.6969,1.3417,1.2412
2017-05-19,7383.41,22496163036314.992,16686813202727,1.3042,0.3556,1.6969,1.34,1.2408
2017-05-12,7392.1,22667771377500.11,16780030370017,1.3141,0.4033,1.6969,1.34,1.2396
2017-05-05,7344.26,22336679666550.207,16571142664513,1.2944,0.3188,1.6969,1.34,1.2389
2017-04-28,7438.38,22599670742440.1,16779350826486,1.3304,0.4707,1.6969,1.3402,1.2385
2017-04-21,7497.46,22626992756964.508,16826644420644,1.3524,0.5389,1.6969,1.3371,1.2366
2017-04-14,7549.16,22799364984012.5,16979130017746,1.365,0.5771,1.6969,1.3338,1.2355
2017-04-07,7614.02,23000370776660.4,17120641744268,1.3778,0.6148,1.6996,1.3331,1.2346
2017-03-31,7491.94,22612018227577.496,16838717117717,1.3602,0.5749,1.6969,1.332,1.2335
2017-03-24,7543.15,22629294346194.402,16866756046918,1.3755,0.6144,1.6969,1.3302,1.232
2017-03-17,7484.74,22453364795402.3,16691357175163,1.366,0.5981,1.6969,1.3288,1.2298
2017-03-10,7452.98,22353796975860.895,16619362145249,1.3603,0.594,1.6969,1.3266,1.2268
2017-03-03,7479.95,22446879173244.2,16694481676840,1.3669,0.6104,1.6969,1.3243,1.2232
2017-02-24,7596.23,22777517736775.6,16936829535666,1.3895,0.6281,1.6969,1.3219,1.219
2017-02-17,7490.17,22503294414290.703,16730114988677,1.373,0.6267,1.6969,1.3194,1.2176
2017-02-10,7499.49,22468911259640.902,16746243849526,1.3694,0.6308,1.6969,1.3181,1.2146
2017-02-03,7404.01,22193427322083.31,16545909097379,1.353,0.6068,1.6996,1.3173,1.2127
