﻿时间,收盘点位,市值,流通市值,PB(加权平均值),PB分位点(加权平均值),PB危险值(加权平均值),PB中位值(加权平均值),PB机会值(加权平均值)
2019-06-14,8186.54,26819862563122.59,19718176160178,1.2635,0.1044,2.7848,1.9437,1.3466
2019-06-06,7978.57,26392546285062.605,19342043345102,1.2403,0.0817,2.7871,1.9456,1.3474
2019-05-31,8092.02,26609408289666.594,19539326955084,1.2472,0.09,2.7884,1.9459,1.3484
2019-05-24,8010.02,26378509850446.902,19354275133692,1.2345,0.0714,2.7886,1.9491,1.3495
2019-05-17,8102.99,26499057394634.395,19475847600529,1.2387,0.0783,2.789,1.9498,1.3498
2019-05-10,8282.09,27020403466476.8,19834173369541,1.2629,0.1001,2.7894,1.9515,1.3511
2019-04-30,8702.26,28380089355392.113,20730546798517,1.326,0.1702,2.7896,1.9529,1.3516
2019-04-26,8617.25,28155549575788.69,20538761929697,1.3495,0.1969,2.7896,1.9531,1.3519
2019-04-19,9092.91,29645188461113.504,21510928466376,1.4387,0.2657,2.7917,1.9551,1.3519
2019-04-12,8807.15,28654075216755.305,20800143004110,1.3943,0.2447,2.792,1.9573,1.3517
2019-04-04,8957.27,29156026613844.508,21115592180001,1.419,0.259,2.7938,1.9576,1.3516
2019-03-29,8533.62,27840038528473.598,20190897928607,1.3657,0.2192,2.7939,1.9588,1.3516
2019-03-22,8450.75,27792395269971.51,20123227085254,1.3768,0.2296,2.794,1.961,1.3519
2019-03-15,8276.99,27367669157610.2,19776400189730,1.357,0.2079,2.7942,1.9621,1.3517
2019-03-08,8095.88,26939418763903.707,19430262055474,1.3365,0.1852,2.7955,1.9623,1.3517
2019-03-01,8367.78,27892889625721.8,20159479842635,1.3858,0.2361,2.797,1.9659,1.3517
2019-02-22,7834.79,26124519375843.594,18902704101766,1.298,0.1353,2.8,1.9705,1.3516
2019-02-15,7451.41,25083890571003.395,18153927278759,1.2464,0.0891,2.8013,1.973,1.3521
2019-02-01,7319.48,24845296599968.297,17993697659237,1.2346,0.0721,2.8016,1.9763,1.3524
2019-01-25,7186.74,24369399071195.2,17659009255639,1.2109,0.0551,2.8019,1.9769,1.353
2019-01-18,7148.47,24163804449117.2,17529591183381,1.2007,0.0455,2.803,1.978,1.3544
2019-01-11,6980.11,23633195901648.09,17156005130902,1.1743,0.0281,2.8076,1.9795,1.3552
2019-01-04,6875.22,23381211187580.703,16968551496641,1.1618,0.0212,2.81,1.9803,1.3556
2018-12-28,6808.8,23232683479691.6,16860871154517,1.1544,0.0155,2.8106,1.9807,1.3559
2018-12-21,6846.11,23363362528554,16935631574203,1.1609,0.0185,2.811,1.9815,1.3572
2018-12-14,7132.32,23421936069872,17224047455654,1.169,0.0225,2.8132,1.9824,1.358
2018-12-07,7164.41,23460361947980.895,17241026374680,1.171,0.023,2.8152,1.9854,1.3587
2018-11-30,7141,23396742753979.19,17128195017076,1.1678,0.021,2.8159,1.9869,1.3597
2018-11-23,7074.21,23262113866770.406,17023357700608,1.1611,0.0181,2.817,1.9898,1.3603
2018-11-16,7300.56,23878973160723.6,17489992466813,1.1919,0.0317,2.8201,1.9908,1.3613
2018-11-09,7136.16,23588402226830.703,17270675167881,1.1772,0.0236,2.8203,1.9938,1.362
2018-11-02,7414.9,24567725216065.203,17940047097849,1.2261,0.0509,2.8207,1.9943,1.3632
