﻿时间,收盘点位,市值,流通市值,PE-TTM(加权平均值),PE-TTM分位点(加权平均值),PE-TTM危险值(加权平均值),PE-TTM中位值(加权平均值),PE-TTM机会值(加权平均值)
2019-06-14,8186.54,26819862563122.59,19718176160178,10.6738,0.2845,12.4182,11.3854,10.4145
2019-06-13,8242.6,26967880251717.3,19829476077930,10.7327,0.2996,12.4182,11.3854,10.4141
2019-06-12,8246.76,27012882562365.4,19844674484647,10.7506,0.3027,12.4182,11.3905,10.4141
2019-06-11,8300.29,27172071273469,19951484030221,10.814,0.3141,12.4182,11.3934,10.4141
2019-06-10,8073.01,26637340235012.496,19544091981275,10.6012,0.2651,12.4182,11.3962,10.4141
2019-06-06,7978.57,26392546285062.605,19342043345102,10.5038,0.2247,12.4182,11.3905,10.4141
2019-06-05,8035.06,26552399376348.492,19463912424692,10.5674,0.2483,12.4182,11.3934,10.4141
2019-06-04,8038.39,26512470980930.707,19451019729890,10.5515,0.2349,12.4182,11.3962,10.4141
2019-06-03,8106.39,26652512864947.61,19571675054132,10.6072,0.2706,12.4182,11.3962,10.4141
2019-05-31,8092.02,26609408289666.594,19539326955084,10.5901,0.2658,12.4182,11.3905,10.4042
2019-05-30,8123.6,26730459318602.305,19637292617041,10.6382,0.2822,12.4182,11.3905,10.3949
2019-05-29,8164.69,26792000095152.51,19679381454928,10.6627,0.2826,12.4182,11.3934,10.3949
2019-05-28,8168.02,26795259667452.906,19693301401059,10.664,0.283,12.4182,11.3962,10.3949
2019-05-27,8093.38,26589068173611.906,19518366165332,10.582,0.261,12.4182,11.3962,10.3926
2019-05-24,8010.02,26378509850446.902,19354275133692,10.4982,0.2329,12.4182,11.3905,10.3852
2019-05-23,7985.03,26298085447358.22,19298052217666,10.4662,0.2288,12.4182,11.3905,10.3816
2019-05-22,8102.57,26589957731106.504,19517096751710,10.5823,0.2634,12.4182,11.3934,10.3816
2019-05-21,8138.16,26693748754015.9,19594725222114,10.6236,0.2788,12.4182,11.3962,10.3816
2019-05-20,8047.99,26447095740641.895,19414148738269,10.5255,0.2376,12.4182,11.3962,10.3781
2019-05-17,8102.99,26499057394634.395,19475847600529,10.5462,0.2466,12.4182,11.3905,10.3561
2019-05-16,8300.35,27033282635726.996,19865094579533,10.7588,0.3082,12.4182,11.3905,10.3548
2019-05-15,8257.31,26916469396020.293,19767095470064,10.7123,0.2963,12.4182,11.3934,10.3548
2019-05-14,8086.88,26448523934548.805,19417067432192,10.526,0.2431,12.4182,11.3962,10.3548
2019-05-13,8139.48,26605245169755.992,19531821827758,10.5884,0.2692,12.4182,11.3962,10.3416
