﻿时间,收盘点位,市值,流通市值,PE-TTM(加权平均值),PE-TTM分位点(加权平均值),PE-TTM危险值(加权平均值),PE-TTM中位值(加权平均值),PE-TTM机会值(加权平均值)
2019-06-14,8186.54,26819862563122.59,19718176160178,10.6738,0.4556,14.0535,11.0557,9.3481
2019-05-31,8092.02,26609408289666.594,19539326955084,10.5901,0.4344,14.0853,11.1041,9.3523
2019-04-30,8702.26,28380089355392.113,20730546798517,11.2793,0.5251,14.2033,11.1654,9.3481
2019-03-29,8533.62,27840038528473.598,20190897928607,11.3364,0.5343,14.2854,11.166,9.3523
2019-02-28,8173.6,27271753122164.51,19702496046939,11.0191,0.4786,14.3622,11.1819,9.3481
2019-01-31,7241.96,24663647514317.293,17856722928085,9.9677,0.2897,14.4284,11.2176,9.3523
2018-12-28,6808.8,23232683479691.6,16860871154517,9.3895,0.2026,14.4284,11.2619,9.3686
2018-11-30,7141,23396742753979.19,17128195017076,9.5907,0.2261,14.4457,11.3178,9.3716
2018-10-31,7150.2,23975448021314.305,17472526979951,9.8279,0.2438,14.4604,11.3665,9.3705
2018-09-28,7699.02,25476931893876.902,18663955116007,10.6034,0.3942,14.4784,11.4138,9.3716
2018-08-31,7371.18,24185338734084.082,17727486243242,10.0658,0.2692,14.541,11.4639,9.3716
2018-07-31,7693.16,25013864979954.812,18371384472161,10.8134,0.4079,14.6701,11.5577,9.3705
2018-06-29,7571.95,24370686129637.09,17915279936881,10.5387,0.3588,14.8213,11.6365,9.3716
2018-05-31,8148.46,25555196636274.902,18908437195238,11.1363,0.4211,14.9878,11.6953,9.3705
2018-04-27,8075.31,25686040184212.8,18843897184680,11.3361,0.448,15.1136,11.7705,9.3716
2018-03-30,8304.42,26251378807402.594,19185121355701,11.8283,0.5021,15.2294,11.819,9.3716
2018-02-28,8624.61,27544993494032.695,20058213898086,12.7534,0.6261,15.3763,11.8242,9.3716
2018-01-31,9269.75,29873679003462.305,21587839887089,13.8426,0.6693,15.4639,11.8242,9.3716
2017-12-29,8647.03,27137940369331.004,19720503011429,12.5749,0.6034,15.6616,11.8216,9.3716
2017-11-30,8673.72,26529280156429.684,19387974319088,12.4672,0.5791,16.0234,11.8216,9.3716
2017-10-31,8592.63,26518893195558.105,19305141064308,12.4605,0.5758,16.4178,11.8216,9.3716
2017-09-29,8297.7,25707193814542.703,18719813851247,12.4972,0.5804,17.0766,11.8216,9.3716
2017-08-31,8359.33,25974387649316.6,18877494274537,12.6307,0.5841,18.3642,11.8216,9.3716
2017-07-31,8161.84,25289197220895.703,18375070530368,12.4816,0.5721,19.8451,11.8216,9.3716
2017-06-30,7900.35,24264006006600.305,17635547020096,11.9848,0.5236,20.8507,11.8216,9.3716
2017-05-31,7644.96,23406023584934.7,17334442225036,11.768,0.4899,21.802,11.8413,9.3716
2017-04-28,7438.38,22599670742440.1,16779350826486,11.5052,0.4611,22.6137,11.9103,9.3705
2017-03-31,7491.94,22612018227577.496,16838717117717,11.8374,0.4883,22.9398,11.9403,9.3716
2017-02-28,7548.37,22675036806986.707,16871342471018,12.0015,0.4961,23.3223,12.0453,9.3716
2017-01-26,7459.74,22381661146437.6,16679292012770,11.8454,0.485,23.7096,12.1079,9.3716
2016-12-30,7224.6,21396228397296.4,15948065218091,11.3627,0.4467,24.3769,12.2093,9.3705
2016-11-30,7635.95,22411936621621.2,16806489742249,11.8051,0.4669,24.6638,12.3995,9.3705
2016-10-31,7169.72,21122758683460.094,15804854474076,11.1265,0.4192,24.6638,12.5764,9.3705
2016-09-30,6958.5,20522553830614,15339359839170,11.042,0.413,24.6638,12.7005,9.3705
2016-08-31,7138.27,21060607450731.305,15744119566934,11.3314,0.4266,24.6308,12.9053,9.3716
2016-07-29,6913.5,20296271972718.51,15186778732436,10.5705,0.3637,24.6308,13.1885,9.3716
2016-06-30,6735.89,19877315099444.6,14873913952841,10.3548,0.3222,24.6308,13.6293,9.3716
2016-05-31,6823.75,19945235805155.105,15005994108165,10.4523,0.3351,24.6308,13.7848,9.3716
2016-04-29,6799.63,19842937528862.2,14907666148710,10.395,0.3184,24.6638,13.9119,9.3705
2016-03-31,6921.88,20217085877801.2,15185358780791,10.3717,0.31,24.6638,14.0439,9.3705
2016-02-29,6205.37,18332400382449.11,13737781705709,9.4016,0.2019,24.6638,14.1081,9.3705
2016-01-29,6308.48,18713069855058.105,13953814577876,9.5938,0.2204,24.6638,14.2033,9.3705
2015-12-31,7995.77,23089603790323.293,17167970567607,11.8395,0.3793,24.6638,14.2529,9.3716
2015-11-30,7728.44,22137609229268.1,16638610737896,11.5697,0.3699,24.6638,14.2529,9.3716
2015-10-30,7685.71,22043576482330.902,16629133241499,11.5153,0.3664,24.6638,14.2523,9.3716
2015-09-30,7030.86,20417086347711.3,15314825497550,10.3558,0.2887,24.6638,14.2529,9.3716
2015-08-31,7334.36,21193753026912.39,15925735399392,10.7501,0.33,24.6638,14.2941,9.3716
2015-07-31,8282.52,24240580448054.797,18085755889480,12.6215,0.3805,24.6638,14.3494,9.3716
2015-06-30,9723.85,27798201202709.5,20690973786813,14.4789,0.5218,24.6638,14.3519,9.3716
2015-05-29,10535.54,27193715370458.895,20695114591088,14.3468,0.5074,24.6638,14.2975,9.3716
2015-04-30,10608.55,28504497878260.203,21761579964414,15.0219,0.588,24.7028,14.2802,9.3705
2015-03-31,8972.9,24340494843469.504,18471845816459,12.8999,0.3929,24.6638,14.3012,9.3716
2015-02-27,7947.05,22118108558009.8,16537319679494,11.4431,0.3442,24.6638,14.3566,9.3716
2015-01-30,7667.46,21714116226971.098,16177109312195,11.2348,0.3354,24.7028,14.3979,9.3705
2014-12-31,8044.5,22432456579341.49,16507246873060,11.6077,0.3391,24.7028,14.45,9.3705
2014-11-28,6222.95,16945890691682.004,12549407066496,8.8346,0.1528,24.6638,14.531,9.3886
2014-10-31,5478.62,14990214822585.8,11156143684592,7.8178,0.084,24.6638,14.5987,9.4491
2014-09-30,5341.61,14605398697765.1,10885311938808,7.7598,0.0684,24.7028,14.6469,9.576
2014-08-29,5107.1,14148646768888.1,10435745088441,7.5579,0.0478,24.6638,14.7449,9.6947
2014-07-31,5155.06,14283621826984.2,10516042925113,7.7965,0.0605,24.6638,14.8089,9.8565
2014-06-30,4729.21,13327680395277.3,9791634559942,7.2749,0.0136,24.6638,14.9336,9.9595
2014-05-30,4711.72,13279292193523.7,9788388467244,7.2521,0.0078,24.7083,15.0185,10.0426
2014-04-30,4726.88,13157786107393.402,9721189191607,7.1859,0,24.7972,15.0728,10.1127
2014-03-31,4694.38,13138597207167.799,9692560502273,7.3478,0.0033,25.0522,15.1397,10.2025
2014-02-28,4732.96,13164430340513.6,9735307282324,7.5048,0.0041,25.24,15.2378,10.2813
2014-01-30,4782.29,13124121185138.1,9649385819762,7.4813,0.0016,25.5027,15.3165,10.3683
2013-12-31,5040.27,13764270885526.998,10092737947812,7.8502,0.0045,25.6385,15.4114,10.4271
2013-11-29,5295.08,14277408660843.799,10419501953402,8.1551,0.0186,25.9879,15.5505,10.5254
2013-10-31,5127.42,13858469194722.402,10109843139431,7.9158,0.0004,25.9879,15.6969,10.628
2013-09-30,5213.53,13939214823206.299,10145170392403,8.2866,0.0186,26.0167,15.9113,10.6798
2013-08-30,5013.33,13562437967179.697,9861175292999,8.0739,0.0037,26.106,16.1156,11.0195
2013-07-31,4749.83,13180635213505.498,9514191427785,8.0549,0.0033,26.2359,16.467,12.0446
2013-06-28,4788.85,13183232886379.395,8896998953237,8.1097,0.0016,26.57,16.7678,12.4086
2013-05-31,5649.97,15189770736612.803,10287150846167,9.3441,0.0473,26.8084,16.9672,12.6359
2013-04-26,5337.29,14665086942266.195,9891630057654,9.1589,0.0235,27.0031,17.1912,12.8329
2013-03-29,5421.62,14941396737622.096,10073744983717,9.4625,0.0449,27.3442,17.4259,13.1023
2013-02-28,5845.61,15851795963708.9,10699680308652,10.1974,0.091,27.7563,17.6905,13.1902
2013-01-31,5910.27,16224445057052.7,10855846644732,10.4381,0.115,28.0944,17.8975,13.2932
2012-12-31,5550.09,15343025012544.7,10384054743297,10.0411,0.0696,28.3409,18.2946,13.4688
2012-11-30,4666.74,13442503593060.402,8957536998186,8.7974,0.0025,28.7119,18.5191,13.6017
2012-10-31,4857.81,13727500330203.398,9162427710961,8.984,0.007,29.2947,18.6889,13.7165
2012-09-28,4934.33,13808862188533.898,9258594282195,9.0775,0.0078,30.6661,18.764,13.8252
2012-08-31,4750.23,13554139689608.998,9035621038354,8.9102,0,31.0635,19.0009,13.9398
2012-07-31,4996.97,13904905138414.1,9284706137994,9.2489,0.0008,31.6342,19.245,14.0361
2012-06-29,5279.95,14250947361562.598,9543632366010,9.5878,0.0029,31.9917,19.5715,14.1062
2012-05-31,5632.06,15106124468150.2,10141861507605,10.1632,0.0199,32.0719,19.7822,14.1418
2012-04-27,5630.8,15429156647317.098,10312026495032,10.5412,0.0482,32.1104,19.9574,14.2164
2012-03-30,5262.41,14717968955247.5,9771765612789,10.0741,0.0114,32.1916,20.1419,14.2609
2012-02-29,5649.05,15651184629610.299,10449762408483,10.6521,0.0405,32.4359,20.4917,14.3118
2012-01-31,5321.34,15035704258640.4,9974732874863,10.2325,0.0176,32.4979,20.8473,14.3534
2011-12-30,5009.29,14237712234737.8,9449680416934,9.704,0.0048,32.5848,21.0386,14.3765
2011-11-30,5315.46,14588125868947.695,9618676324129,9.9428,0,32.7731,21.3701,14.4297
2011-10-31,5704.49,15414640948959.006,10162966443650,10.5061,0.0066,33.0931,21.5807,14.4784
2011-09-30,5402.77,14600771432685.203,9640607101838,10.2665,0,33.1172,21.802,14.5297
2011-08-31,5936.76,15613977179584,10324498089080,10.9794,0,33.1951,22.0681,14.5886
2011-07-29,6204.38,16421538309481.395,10789876744803,12.1641,0.0032,33.4336,22.357,14.6402
2011-06-30,6407.89,16715892840772.902,11029590974944,12.4582,0.0124,33.4804,22.5254,14.7087
2011-05-31,6377.67,16721393512758.197,10990905115959,12.4623,0.0032,33.585,22.6451,14.763
2011-04-29,6772.46,17594276436560.5,11578829993597,13.1761,0.0177,33.6412,22.8162,14.8213
2011-03-31,6791.11,17493655487664.2,11497939687398,13.9332,0.0711,33.6831,22.9085,14.9181
2011-02-28,6730.26,17158102882667.7,11199674072282,14.5553,0.1533,33.7536,23.0333,14.9869
2011-01-31,6464.51,16792876831652.496,10816366223133,14.2509,0.1112,33.8071,23.1228,15.0237
2010-12-31,6517.6,16514829653117.2,10736280282820,14.1135,0.092,33.8491,23.2028,15.0732
2010-11-30,6532.94,16409180076061.398,10466279758701,14.0158,0.0773,33.9283,23.3156,15.1414
2010-10-29,7075.84,17419917768263.9,9198588501329,15.1406,0.1959,33.9938,23.4141,15.1911
2010-09-30,6150.93,15360296790616.2,7698622664565,13.9987,0.0773,34.0322,23.5273,15.1915
2010-08-31,6131.26,15405116692015.598,7587323232921,14.07,0.0796,34.0867,23.6828,15.2653
2010-07-30,6175.076,15816820308000.807,7730975415044,15.4639,0.2108,34.1015,24.02,15.3199
2010-06-30,5574.226,13620765078373.498,7066812626431,14.3622,0.1045,34.192,24.2061,15.4243
2010-05-31,5993.659,14569583531848.9,7558082533102,15.3627,0.1882,34.2152,24.3125,15.5623
2010-04-30,6673.536,16078117780348.703,8239875201834,16.9641,0.2459,34.3034,24.414,15.6015
2010-03-31,7276.19,17426243187919.604,8819571050094,22.6186,0.424,34.3952,24.5409,15.5584
2010-02-26,7081.673,17064158557386.896,8519395637589,23.4089,0.4578,34.4593,24.6382,15.4751
2010-01-29,6935.844,16903660021872.8,8358483943704,23.2286,0.4507,34.549,24.7258,15.4451
2009-12-31,7762.924,18685479773851.6,8722796304248,26.1015,0.5833,34.5841,24.7233,15.4119
2009-11-30,7621.68,18054004539395.598,8206591449534,25.2194,0.5303,34.6767,24.6088,15.3667
2009-10-30,7186.21,17232943743259.4,7751354628642,24.2787,0.4904,34.7949,24.494,15.322
2009-09-30,6606.56,16098538893866.402,5369313224772,23.8452,0.4836,34.8393,24.401,15.3138
