﻿时间,收盘点位,市值,流通市值,PE-TTM(加权平均值),PE-TTM分位点(加权平均值),PE-TTM危险值(加权平均值),PE-TTM中位值(加权平均值),PE-TTM机会值(加权平均值)
2019-06-14,8186.54,26819862563122.59,19718176160178,10.6738,0.2845,12.4182,11.3854,10.4145
2019-05-31,8092.02,26609408289666.594,19539326955084,10.5901,0.2658,12.4182,11.3905,10.4042
2019-04-30,8702.26,28380089355392.113,20730546798517,11.2793,0.4452,12.4182,11.3905,10.3141
2019-03-29,8533.62,27840038528473.598,20190897928607,11.3364,0.5027,12.4182,11.3361,10.2883
2019-02-28,8173.6,27271753122164.51,19702496046939,11.0191,0.3962,12.4182,11.3307,10.2459
2019-01-31,7241.96,24663647514317.293,17856722928085,9.9677,0.138,12.4182,11.3307,10.205
2018-12-28,6808.8,23232683479691.6,16860871154517,9.3895,0.0041,12.4176,11.3361,10.2508
2018-11-30,7141,23396742753979.19,17128195017076,9.5907,0.0245,12.4176,11.3999,10.3098
2018-10-31,7150.2,23975448021314.305,17472526979951,9.8279,0.0342,12.4183,11.4787,10.3847
2018-09-28,7699.02,25476931893876.902,18663955116007,10.6034,0.2616,12.4182,11.4787,10.4375
2018-08-31,7371.18,24185338734084.082,17727486243242,10.0658,0.0382,12.4182,11.4797,10.5162
2018-07-31,7693.16,25013864979954.812,18371384472161,10.8134,0.2613,12.4533,11.5578,10.5625
2018-06-29,7571.95,24370686129637.09,17915279936881,10.5387,0.1705,12.4994,11.6561,10.6224
2018-05-31,8148.46,25555196636274.902,18908437195238,11.1363,0.276,12.5502,11.7402,10.6468
2018-04-27,8075.31,25686040184212.8,18843897184680,11.3361,0.3447,12.6307,11.8166,10.6482
2018-03-30,8304.42,26251378807402.594,19185121355701,11.8283,0.4884,12.7049,11.8461,10.6482
2018-02-28,8624.61,27544993494032.695,20058213898086,12.7534,0.8226,12.6705,11.8249,10.6482
2018-01-31,9269.75,29873679003462.305,21587839887089,13.8426,0.9059,12.6135,11.7766,10.6482
2017-12-29,8647.03,27137940369331.004,19720503011429,12.5749,0.8188,12.5392,11.7201,10.6482
2017-11-30,8673.72,26529280156429.684,19387974319088,12.4672,0.7708,12.5322,11.648,10.5738
2017-10-31,8592.63,26518893195558.105,19305141064308,12.4605,0.791,12.492,11.5308,10.4615
2017-09-29,8297.7,25707193814542.703,18719813851247,12.4972,0.8283,12.413,11.426,10.3816
2017-08-31,8359.33,25974387649316.6,18877494274537,12.6307,0.8607,12.222,11.3663,10.2907
2017-07-31,8161.84,25289197220895.703,18375070530368,12.4816,0.8605,12.0738,11.2862,10.1805
2017-06-30,7900.35,24264006006600.305,17635547020096,11.9848,0.7831,12.0328,11.2325,10.0989
2017-05-31,7644.96,23406023584934.7,17334442225036,11.768,0.7014,12.0357,11.1568,9.8031
2017-04-28,7438.38,22599670742440.1,16779350826486,11.5052,0.6412,12.0328,11.0648,9.2187
2017-03-31,7491.94,22612018227577.496,16838717117717,11.8374,0.7493,11.9893,10.9886,7.8497
2017-02-28,7548.37,22675036806986.707,16871342471018,12.0015,0.8033,11.9893,10.7451,7.7598
2017-01-26,7459.74,22381661146437.6,16679292012770,11.8454,0.794,11.89,10.6445,7.7238
2016-12-30,7224.6,21396228397296.4,15948065218091,11.3627,0.7057,11.89,10.5602,7.6916
2016-11-30,7635.95,22411936621621.2,16806489742249,11.8051,0.7869,11.8973,10.4523,7.6889
2016-10-31,7169.72,21122758683460.094,15804854474076,11.1265,0.6776,11.89,10.3558,7.6889
2016-09-30,6958.5,20522553830614,15339359839170,11.042,0.6812,11.8737,10.282,7.6916
2016-08-31,7138.27,21060607450731.305,15744119566934,11.3314,0.7486,11.89,10.1767,7.6889
2016-07-29,6913.5,20296271972718.51,15186778732436,10.5705,0.6376,11.8737,10.0824,7.6916
2016-06-30,6735.89,19877315099444.6,14873913952841,10.3548,0.6071,11.8737,9.7416,7.6916

数据来源于：理杏仁网站(lixinger.com)
