﻿时间,收盘点位,市值,流通市值,PE-TTM(加权平均值),PE-TTM分位点(加权平均值),PE-TTM危险值(加权平均值),PE-TTM中位值(加权平均值),PE-TTM机会值(加权平均值)
2019-06-14,8186.54,26819862563122.59,19718176160178,10.6738,0.269,25.5436,13.9237,10.2149
2019-05-31,8092.02,26609408289666.594,19539326955084,10.5901,0.2572,25.564,13.9408,10.2089
2019-04-30,8702.26,28380089355392.113,20730546798517,11.2793,0.3122,25.5886,13.975,10.1985
2019-03-29,8533.62,27840038528473.598,20190897928607,11.3364,0.3195,25.6192,13.9993,10.1895
2019-02-28,8173.6,27271753122164.51,19702496046939,11.0191,0.2875,25.6385,14.0426,10.1799
2019-01-31,7241.96,24663647514317.293,17856722928085,9.9677,0.1751,25.6488,14.0575,10.1805
2018-12-28,6808.8,23232683479691.6,16860871154517,9.3895,0.1229,25.7148,14.0798,10.2175
2018-11-30,7141,23396742753979.19,17128195017076,9.5907,0.1378,25.7463,14.1059,10.2396
2018-10-31,7150.2,23975448021314.305,17472526979951,9.8279,0.1494,25.7756,14.128,10.2683
2018-09-28,7699.02,25476931893876.902,18663955116007,10.6034,0.2427,25.869,14.1488,10.2885
2018-08-31,7371.18,24185338734084.082,17727486243242,10.0658,0.1666,25.8946,14.1973,10.3098
2018-07-31,7693.16,25013864979954.812,18371384472161,10.8134,0.2538,25.9308,14.2225,10.3231
2018-06-29,7571.95,24370686129637.09,17915279936881,10.5387,0.2246,25.9831,14.2542,10.3284
2018-05-31,8148.46,25555196636274.902,18908437195238,11.1363,0.2648,26.0167,14.2886,10.3228
2018-04-27,8075.31,25686040184212.8,18843897184680,11.3361,0.2835,26.0412,14.314,10.3175
2018-03-30,8304.42,26251378807402.594,19185121355701,11.8283,0.3193,26.062,14.3333,10.3083
2018-02-28,8624.61,27544993494032.695,20058213898086,12.7534,0.4005,26.0967,14.3555,10.2906
2018-01-31,9269.75,29873679003462.305,21587839887089,13.8426,0.4528,26.1421,14.3669,10.2885
2017-12-29,8647.03,27137940369331.004,19720503011429,12.5749,0.3896,26.1804,14.4049,10.2813
2017-11-30,8673.72,26529280156429.684,19387974319088,12.4672,0.376,26.2027,14.4223,10.2714
2017-10-31,8592.63,26518893195558.105,19305141064308,12.4605,0.3761,26.2907,14.4504,10.2665
2017-09-29,8297.7,25707193814542.703,18719813851247,12.4972,0.3808,26.3167,14.4732,10.2581
2017-08-31,8359.33,25974387649316.6,18877494274537,12.6307,0.3854,26.3543,14.5104,10.2467
2017-07-31,8161.84,25289197220895.703,18375070530368,12.4816,0.3799,26.4006,14.5407,10.2396
2017-06-30,7900.35,24264006006600.305,17635547020096,11.9848,0.3497,26.4451,14.567,10.2348
2017-05-31,7644.96,23406023584934.7,17334442225036,11.768,0.3292,26.57,14.5999,10.2252
2017-04-28,7438.38,22599670742440.1,16779350826486,11.5052,0.3113,26.6102,14.6325,10.2175
2017-03-31,7491.94,22612018227577.496,16838717117717,11.8374,0.3316,26.6619,14.6555,10.205
2017-02-28,7548.37,22675036806986.707,16871342471018,12.0015,0.339,26.7428,14.704,10.1974
2017-01-26,7459.74,22381661146437.6,16679292012770,11.8454,0.3331,26.7731,14.7414,10.1799
2016-12-30,7224.6,21396228397296.4,15948065218091,11.3627,0.3082,26.8084,14.7625,10.1734
2016-11-30,7635.95,22411936621621.2,16806489742249,11.8051,0.3241,26.8425,14.7883,10.1618
2016-10-31,7169.72,21122758683460.094,15804854474076,11.1265,0.2928,26.877,14.8334,10.1583
2016-09-30,6958.5,20522553830614,15339359839170,11.042,0.2898,26.9247,14.8703,10.1512
2016-08-31,7138.27,21060607450731.305,15744119566934,11.3314,0.3014,26.997,14.9336,10.1471
2016-07-29,6913.5,20296271972718.51,15186778732436,10.5705,0.2587,27.0168,14.9848,10.1224
2016-06-30,6735.89,19877315099444.6,14873913952841,10.3548,0.2306,27.0858,15.016,10.1168
