﻿时间,收盘点位,市值,流通市值,PE-TTM(加权平均值),PE-TTM分位点(加权平均值),PE-TTM危险值(加权平均值),PE-TTM中位值(加权平均值),PE-TTM机会值(加权平均值)
2019-06-14,8186.54,26819862563122.59,19718176160178,10.6738,0.2845,12.4182,11.3854,10.4145
2019-06-06,7978.57,26392546285062.605,19342043345102,10.5038,0.2247,12.4182,11.3905,10.4141
2019-05-31,8092.02,26609408289666.594,19539326955084,10.5901,0.2658,12.4182,11.3905,10.4042
2019-05-24,8010.02,26378509850446.902,19354275133692,10.4982,0.2329,12.4182,11.3905,10.3852
2019-05-17,8102.99,26499057394634.395,19475847600529,10.5462,0.2466,12.4182,11.3905,10.3561
2019-05-10,8282.09,27020403466476.8,19834173369541,10.7536,0.3068,12.4182,11.3905,10.3234
2019-04-30,8702.26,28380089355392.113,20730546798517,11.2793,0.4452,12.4182,11.3905,10.3141
2019-04-26,8617.25,28155549575788.69,20538761929697,11.2941,0.4577,12.4182,11.3804,10.3098
2019-04-19,9092.91,29645188461113.504,21510928466376,12.1166,0.765,12.4182,11.3665,10.2894
2019-04-12,8807.15,28654075216755.305,20800143004110,11.7099,0.6107,12.4182,11.3557,10.2894
2019-04-04,8957.27,29156026613844.508,21115592180001,11.9325,0.7104,12.4182,11.3398,10.2893
2019-03-29,8533.62,27840038528473.598,20190897928607,11.3364,0.5027,12.4182,11.3361,10.2883
2019-03-22,8450.75,27792395269971.51,20123227085254,11.2051,0.4426,12.4182,11.3354,10.282
2019-03-15,8276.99,27367669157610.2,19776400189730,11.018,0.3866,12.4182,11.3354,10.2738
2019-03-08,8095.88,26939418763903.707,19430262055474,10.8618,0.373,12.4182,11.3354,10.2574
2019-03-01,8367.78,27892889625721.8,20159479842635,11.2701,0.4768,12.4182,11.3307,10.246
2019-02-22,7834.79,26124519375843.594,18902704101766,10.557,0.3261,12.4176,11.3271,10.2277
2019-02-15,7451.41,25083890571003.395,18153927278759,10.1375,0.1719,12.4176,11.3271,10.2111
2019-02-01,7319.48,24845296599968.297,17993697659237,10.0411,0.1501,12.4176,11.3271,10.205
2019-01-25,7186.74,24369399071195.2,17659009255639,9.8488,0.1105,12.4176,11.3271,10.205
2019-01-18,7148.47,24163804449117.2,17529591183381,9.7657,0.0778,12.4176,11.3271,10.2111
2019-01-11,6980.11,23633195901648.09,17156005130902,9.5512,0.0396,12.4176,11.3271,10.2222
2019-01-04,6875.22,23381211187580.703,16968551496641,9.4494,0.015,12.4176,11.3311,10.2459
2018-12-28,6808.8,23232683479691.6,16860871154517,9.3895,0.0041,12.4176,11.3361,10.2508
2018-12-21,6846.11,23363362528554,16935631574203,9.4423,0.0054,12.4176,11.3436,10.2665
2018-12-14,7132.32,23421936069872,17224047455654,9.601,0.0313,12.4176,11.3663,10.2788
2018-12-07,7164.41,23460361947980.895,17241026374680,9.6168,0.03,12.4176,11.3804,10.2883
2018-11-30,7141,23396742753979.19,17128195017076,9.5907,0.0245,12.4176,11.3999,10.3098
2018-11-23,7074.21,23262113866770.406,17023357700608,9.5355,0.0109,12.4176,11.4137,10.3218
2018-11-16,7300.56,23878973160723.6,17489992466813,9.7884,0.0368,12.4176,11.4278,10.34
2018-11-09,7136.16,23588402226830.703,17270675167881,9.6693,0.0204,12.4182,11.4504,10.3561
2018-11-02,7414.9,24567725216065.203,17940047097849,10.0707,0.0749,12.4182,11.4664,10.3816
2018-10-26,7176.01,24071089176090.6,17514461218695,10.0315,0.064,12.4182,11.4787,10.3949
2018-10-19,7075.65,23660862965836.094,17279279497559,9.8495,0.0354,12.4182,11.4787,10.4145
2018-10-12,7145.16,23885024872700.19,17490751427721,9.9408,0.0409,12.4182,11.4787,10.4256
2018-09-28,7699.02,25476931893876.902,18663955116007,10.6034,0.2616,12.4182,11.4787,10.4375
2018-09-21,7614.87,25173478699716.895,18421179459520,10.4771,0.2122,12.4182,11.4726,10.4385
2018-09-14,7219.54,23857122796110.39,17483945409484,9.9292,0.0367,12.4182,11.4726,10.4555
2018-09-07,7276.07,23904471756470.695,17513774493259,9.9489,0.0327,12.4182,11.4726,10.4992
2018-08-31,7371.18,24185338734084.082,17727486243242,10.0658,0.0382,12.4182,11.4797,10.5162
2018-08-24,7357.13,24102414582239.203,17683236423365,10.2894,0.1214,12.4182,11.4797,10.523
2018-08-17,7116.38,23361081096767.703,17165708059051,10.0066,0.0368,12.4306,11.5017,10.5522
2018-08-10,7495.29,24446227550313.2,17965945343983,10.5536,0.1978,12.4411,11.5211,10.5601
2018-08-03,7298.42,23902481075480.402,17527863860733,10.3234,0.1241,12.4527,11.5367,10.5621
2018-07-27,7666.44,24799272015736.996,18236354434887,10.724,0.2401,12.4605,11.5712,10.5676
2018-07-20,7574.7,24420705238473.793,17923210170325,10.5604,0.1951,12.4687,11.5997,10.5676
2018-07-13,7547.29,24420229888088.2,17888860672057,10.5601,0.1869,12.4816,11.6219,10.5816
2018-07-06,7315.6,23758175972903.8,17447535668110,10.2738,0.0982,12.4924,11.6394,10.5941
2018-06-29,7571.95,24370686129637.09,17915279936881,10.5387,0.1705,12.4994,11.6561,10.6224
2018-06-22,7811.23,25111132691363.312,18342810842061,10.8589,0.2322,12.5266,11.6697,10.6468
2018-06-15,8089.77,25989491986030.496,18911129956949,11.2387,0.3261,12.5322,11.6916,10.6482
2018-06-08,8103.96,25346479524670.1,18786491471406,11.0285,0.2538,12.54,11.7112,10.6482
2018-06-01,8092.93,25432220124881.6,18820844685011,11.0827,0.266,12.5477,11.7331,10.6482
2018-05-25,8192.91,25849418510789.695,19055707404285,11.2645,0.322,12.5573,11.7458,10.6482
2018-05-18,8367.67,26629925421754.797,19578781859022,11.6046,0.4434,12.5798,11.7679,10.6482
2018-05-11,8303.72,26394522046136.613,19376515664438,11.502,0.4134,12.6086,11.7878,10.6482
2018-05-04,8096.47,25677836495793.504,18866501218790,11.1897,0.2933,12.6241,11.8094,10.6482
2018-04-27,8075.31,25686040184212.8,18843897184680,11.3361,0.3447,12.6307,11.8166,10.6482
2018-04-20,8058.14,25480251729031.605,18706642233824,11.4066,0.3774,12.6429,11.8256,10.6482
2018-04-13,8282.92,26157659685718.703,19160516064983,11.7402,0.455,12.6717,11.836,10.6482
2018-04-04,8229.34,25813977941041.99,18952924497534,11.6195,0.4161,12.6861,11.8384,10.6482
2018-03-30,8304.42,26251378807402.594,19185121355701,11.8283,0.4884,12.7049,11.8461,10.6482
2018-03-23,8400.03,26709002250104.11,19523263006804,12.2286,0.6218,12.7049,11.85,10.6482
2018-03-16,8660.53,27346713443546.7,19973545636802,12.5559,0.7483,12.7049,11.8461,10.6482
2018-03-09,8757.13,27719892107505.004,20175609468253,12.8363,0.8313,12.6938,11.8369,10.6482
2018-03-02,8597.54,27416439927849.906,19968716994547,12.6938,0.8054,12.6718,11.8267,10.6482
2018-02-23,8789.26,28245979162890.113,20502491415573,13.0813,0.8622,12.6429,11.8182,10.6482
2018-02-14,8549.61,27400713055062.305,19873932731961,12.6898,0.8131,12.6326,11.8155,10.6482
2018-02-09,8347.69,26951071969944.797,19537857127523,12.4877,0.732,12.6324,11.8066,10.6482
2018-02-02,9304.59,30191970953452.91,21839169108514,13.9901,0.9156,12.6215,11.7816,10.6482
2018-01-26,9451.74,30389083554515.797,21955888125774,14.0814,0.9252,12.6057,11.7705,10.6482
2018-01-19,9252.56,29557273842532.61,21386046269881,13.696,0.9061,12.5749,11.7646,10.6482
2018-01-12,9054.9,28341389548146.3,20688065735307,13.1326,0.8939,12.5573,11.7458,10.6482
2018-01-05,8872.13,27776158531483.004,20251815018958,12.8707,0.8735,12.5474,11.7448,10.6482
2017-12-29,8647.03,27137940369331.004,19720503011429,12.5749,0.8188,12.5392,11.7201,10.6482
2017-12-22,8695.62,26952443155649,19668111366433,12.4765,0.7684,12.5365,11.6993,10.6423
2017-12-15,8558.85,26479046175232.797,19354828281651,12.2574,0.7125,12.5365,11.6887,10.6207
2017-12-08,8661.09,26415368104785.707,19328709379668,12.4137,0.7425,12.5365,11.6697,10.5928
2017-12-01,8641.77,26402459070165.094,19323708984950,12.4076,0.7439,12.5322,11.6518,10.5738
2017-11-24,8844.7,27024382159617.508,19750018507157,12.6999,0.8529,12.5266,11.6233,10.5592
2017-11-17,8882.91,26961800095621.6,19741355548509,12.6705,0.8529,12.5126,11.6039,10.533
2017-11-10,8782.39,26700188116833.4,19512610102372,12.5476,0.8229,12.4961,11.5689,10.5157
2017-11-03,8585.78,26491252499541.203,19315913013687,12.4475,0.7861,12.4816,11.5397,10.469
2017-10-27,8646.36,26515152217058.41,19360343921954,12.7049,0.8597,12.4774,11.512,10.4523
2017-10-20,8465.88,26209055702287.31,19097407473642,12.7394,0.8665,12.4527,11.488,10.4248
2017-10-13,8414.46,25948158723870.41,18907330887605,12.6125,0.8515,12.4306,11.4479,10.412
2017-09-29,8297.7,25707193814542.703,18719813851247,12.4972,0.8283,12.413,11.426,10.3816
2017-09-22,8306.63,25738846278653.4,18726441686650,12.5126,0.8338,12.3926,11.4139,10.3566
2017-09-15,8299.18,25600149677088.7,18645228490915,12.4145,0.8134,12.3365,11.3963,10.3483
2017-09-08,8330.95,25851737815224.51,18796406824116,12.5365,0.8472,12.243,11.3804,10.3218
2017-09-01,8373.46,25841490234167.594,18803046137615,12.5315,0.8513,12.222,11.3664,10.306
2017-08-25,8307.35,25979774978397.19,18902693240686,12.8106,0.8759,12.178,11.3433,10.282
2017-08-18,8111.77,25149761501804.797,18334197389724,12.4032,0.8363,12.1354,11.3355,10.2683
2017-08-11,7977.68,24816147071198.695,18104287301412,12.243,0.8267,12.1021,11.3223,10.2467
2017-08-04,8128.7,25314627078843.805,18407091179684,12.4941,0.8568,12.0909,11.297,10.2177
2017-07-28,8126.12,25243165599663.703,18330734454990,12.461,0.8595,12.0702,11.2833,10.1734
2017-07-21,8122.89,25050641736888.7,18259761595373,12.3734,0.8527,12.0651,11.2749,10.1583
2017-07-14,8055.13,24744285091603.613,18017394636657,12.222,0.8472,12.0541,11.2536,10.1341
2017-07-07,7904.43,24314461424520.508,17703942780483,12.0097,0.794,12.0328,11.2449,10.1163
2017-06-30,7900.35,24264006006600.305,17635547020096,11.9848,0.7831,12.0328,11.2325,10.0989
2017-06-23,7814.14,24124157654516.1,17496004110121,11.9157,0.764,12.0328,11.1959,10.0572
2017-06-16,7619.86,23589759374224.305,17115193804360,11.6518,0.6562,12.0328,11.1849,9.9618
2017-06-09,7776.83,23569868071180.906,17513250773166,11.8522,0.7394,12.0328,11.1744,9.8856
2017-06-02,7635.94,23416248676865.3,17348418691230,11.7731,0.7008,12.0357,11.1619,9.8031
2017-05-26,7615.43,23305744648884.51,17253640324115,11.7163,0.6921,12.0328,11.1514,9.7318
2017-05-19,7383.41,22496163036314.992,16686813202727,11.3093,0.5763,12.0328,11.1368,9.5662
2017-05-12,7392.1,22667771377500.11,16780030370017,11.3962,0.6131,12.0328,11.113,9.5293
2017-05-05,7344.26,22336679666550.207,16571142664513,11.2302,0.549,12.0328,11.085,9.4016
2017-04-28,7438.38,22599670742440.1,16779350826486,11.5052,0.6412,12.0328,11.0648,9.2187
2017-04-21,7497.46,22626992756964.508,16826644420644,11.8891,0.7531,12.0328,11.0405,8.2798
2017-04-14,7549.16,22799364984012.5,16979130017746,11.9958,0.7913,12.0328,11.0225,8.0695
2017-04-07,7614.02,23000370776660.4,17120641744268,12.0918,0.8265,12.0078,10.999,7.9017
2017-03-31,7491.94,22612018227577.496,16838717117717,11.8374,0.7493,11.9893,10.9886,7.8497
2017-03-24,7543.15,22629294346194.402,16866756046918,11.9338,0.7847,11.9893,10.9681,7.8139
2017-03-17,7484.74,22453364795402.3,16691357175163,11.8804,0.767,11.9893,10.8899,7.7986
