﻿时间,收盘点位,市值,流通市值,PE-TTM(加权平均值),PE-TTM分位点(加权平均值),PE-TTM危险值(加权平均值),PE-TTM中位值(加权平均值),PE-TTM机会值(加权平均值)
2019-06-14,8186.54,26819862563122.59,19718176160178,10.6738,0.269,25.5436,13.9237,10.2149
2019-06-06,7978.57,26392546285062.605,19342043345102,10.5038,0.2419,25.5585,13.9332,10.2111
2019-05-31,8092.02,26609408289666.594,19539326955084,10.5901,0.2572,25.564,13.9408,10.2089
2019-05-24,8010.02,26378509850446.902,19354275133692,10.4982,0.2412,25.5666,13.9436,10.205
2019-05-17,8102.99,26499057394634.395,19475847600529,10.5462,0.2485,25.5668,13.9541,10.2025
2019-05-10,8282.09,27020403466476.8,19834173369541,10.7536,0.2735,25.5853,13.9648,10.1997
2019-04-30,8702.26,28380089355392.113,20730546798517,11.2793,0.3122,25.5886,13.975,10.1985
2019-04-26,8617.25,28155549575788.69,20538761929697,11.2941,0.3141,25.5886,13.9807,10.1985
2019-04-19,9092.91,29645188461113.504,21510928466376,12.1166,0.3884,25.5965,13.9823,10.1977
2019-04-12,8807.15,28654075216755.305,20800143004110,11.7099,0.3489,25.6155,13.9877,10.1974
2019-04-04,8957.27,29156026613844.508,21115592180001,11.9325,0.3705,25.6175,13.9952,10.1953
2019-03-29,8533.62,27840038528473.598,20190897928607,11.3364,0.3195,25.6192,13.9993,10.1895
2019-03-22,8450.75,27792395269971.51,20123227085254,11.2051,0.3041,25.6193,14.0077,10.1867
2019-03-15,8276.99,27367669157610.2,19776400189730,11.018,0.2878,25.6316,14.0217,10.1807
2019-03-08,8095.88,26939418763903.707,19430262055474,10.8618,0.2802,25.6334,14.0299,10.1805
2019-03-01,8367.78,27892889625721.8,20159479842635,11.2701,0.3104,25.6385,14.0397,10.1799
2019-02-22,7834.79,26124519375843.594,18902704101766,10.557,0.2537,25.6423,14.0441,10.1778
2019-02-15,7451.41,25083890571003.395,18153927278759,10.1375,0.1941,25.6438,14.0501,10.1767
2019-02-01,7319.48,24845296599968.297,17993697659237,10.0411,0.1817,25.6488,14.0574,10.1799
2019-01-25,7186.74,24369399071195.2,17659009255639,9.8488,0.1626,25.6697,14.0608,10.1895
2019-01-18,7148.47,24163804449117.2,17529591183381,9.7657,0.1536,25.6712,14.0637,10.1985
2019-01-11,6980.11,23633195901648.09,17156005130902,9.5512,0.1373,25.677,14.0714,10.2089
2019-01-04,6875.22,23381211187580.703,16968551496641,9.4494,0.1298,25.6783,14.0777,10.2162
2018-12-28,6808.8,23232683479691.6,16860871154517,9.3895,0.1229,25.7148,14.0798,10.2175
2018-12-21,6846.11,23363362528554,16935631574203,9.4423,0.1278,25.7157,14.0852,10.2236
2018-12-14,7132.32,23421936069872,17224047455654,9.601,0.1392,25.7216,14.0936,10.2284
2018-12-07,7164.41,23460361947980.895,17241026374680,9.6168,0.1399,25.7425,14.1021,10.2348
2018-11-30,7141,23396742753979.19,17128195017076,9.5907,0.1378,25.7463,14.1059,10.2396
2018-11-23,7074.21,23262113866770.406,17023357700608,9.5355,0.1325,25.7599,14.1079,10.246
2018-11-16,7300.56,23878973160723.6,17489992466813,9.7884,0.148,25.7604,14.1083,10.2537
2018-11-09,7136.16,23588402226830.703,17270675167881,9.6693,0.1416,25.7668,14.1135,10.2581
2018-11-02,7414.9,24567725216065.203,17940047097849,10.0707,0.172,25.7756,14.1236,10.2665
2018-10-26,7176.01,24071089176090.6,17514461218695,10.0315,0.1667,25.7875,14.1324,10.2714
2018-10-19,7075.65,23660862965836.094,17279279497559,9.8495,0.1515,25.7952,14.1378,10.2788
2018-10-12,7145.16,23885024872700.19,17490751427721,9.9408,0.1572,25.8475,14.1418,10.282
2018-09-28,7699.02,25476931893876.902,18663955116007,10.6034,0.2427,25.869,14.1488,10.2885
2018-09-21,7614.87,25173478699716.895,18421179459520,10.4771,0.2255,25.8702,14.1607,10.2883
2018-09-14,7219.54,23857122796110.39,17483945409484,9.9292,0.1568,25.8783,14.1698,10.2894
2018-09-07,7276.07,23904471756470.695,17513774493259,9.9489,0.1577,25.8838,14.18,10.3044
2018-08-31,7371.18,24185338734084.082,17727486243242,10.0658,0.1666,25.8946,14.1973,10.3098
2018-08-24,7357.13,24102414582239.203,17683236423365,10.2894,0.1974,25.8964,14.2029,10.3141
2018-08-17,7116.38,23361081096767.703,17165708059051,10.0066,0.1622,25.9021,14.2041,10.3227
