a 一
aa 一下
ab 一起
ac 平静
ad 于
ae 开
af 末
ag 无
ah 形成
ai 丁
aj 可
ak 更
al 两
am 严重
an 百
ao 丈
ap 一般
aq 一月
ar 死
as 干部
at 政府
au 下半年
av 天津 天津市
aw 一定
ax 开展
ay 万
az 与
b 地
ba 土
bb 款
bc 增长
bd 二
be 填
bf 规模
bg 项
bh 越
bi 工
bj 动员
bk 示
bl 项目
bm 者
bn 增值
bo 走
bp 喜爱
bq 二月 五月
br 元
bs 专
bt 专门
bu 增
bv 来
bw 壹
bx 五
by 都
bz 动
c 现
ca 王
cb 奉
cc 表现
cd 三
ce 耳
cf 职权
cg 现在
ch 长
ci 丰
cj 职员
ck 聘
cl 帮助
cm 耗
cn 现代
co 春
cp 现金
cq 青
cr 表
cs 玉
ct 现状
cu 联
cv 表演
cw 丰富
cx 取
cy 帮
cz 素
d 的
da 打
db 持
dc 提取
dd 指挥
de 摸
df 搏
dg 扩大
dh 找
di 掉
dj 事
dk 提
dl 打败
dm 才
dn 推
do 执行
dp 拆
dq 热
dr 事务
ds 寸
dt 推广
du 事情
dv 求
dw 按
dx 据
dy 把
dz 拨
e 世
ea 廿
eb 甘
ec 其
ed 十
ee 革
ef 基本
eg 若
eh 栽
ei 某些
ej 克
ek 朝
el 真
em 栽种
en 花
eo 共
ep 基金
eq 期
er 警
es 共计
et 期间
eu 朝着
ev 落
ew 带
ex 支
ey 节
ez 甚
f 要
fa 木
fb 标
fc 整理
fd 需求
fe 横
ff 需要
fg 需
fh 整顿
fi 要点
fj 西
fk 查
fl 相
fm 整
fn 棉
fo 配合
fp 相反
fq 机
fr 格
fs 校
ft 标准
fu 样
fv 雨
fw 档案
fx 权
fy 极
fz 札
g 在
ga 石
gb 左
gc 套
gd 大
ge 尤其
gf 不要
gg 厂
gh 辰
gi 不
gj 面
gk 大量
gl 而
gm 龙
gn 原
go 页
gp 面貌
gq 有
gr 尤
gs 太
gt 态度
gu 碰
gv 大学
gw 大家
gx 破
gy 顾
gz 友好
h 成
ha 臣
hb 至
hc 成长
hd 七
he 车
hf 成本
hg 成套
hh 感到
hi 牙
hj 或
hk 到
hl 盛
hm 戈
hn 成份
ho 区
hp 暂
hq 轨
hr 软
hs 弋
ht 到底
hu 成为
hv 感觉
hw 感
hx 巨
hy 切
hz 成绩
i 上
ia 虫
ib 些
ic 上班
id 卜
ie 歧
if 战术
ig 上面
ih 虎
ii 止
ij 点
ik 旧
il 占用
im 频繁
in 督促
io 齿
ip 此后
iq 肯
ir 此
is 此刻
it 战斗
iu 上半年
iv 上海 上海市
iw 上述
ix 上层
iy 凹 凸
iz 上级
j 中
ja 口
jb 味
jc 国
jd 因
je 国营
jf 只要
jg 只有
jh 吨
ji 足
jj 中国
jk 别
jl 员
jm 吃
jn 中华
jo 只
jp 听
jq 跺
jr 路
js 国产
jt 中间
ju 因为
jv 跳
jw 国家
jx 吗
jy 另
jz 叫
k 是
ka 日
kb 里
kc 非
kd 时
ke 早
kf 果
kg 光
kh 当成
ki 田
kj 影响
kk 曲
kl 常用
km 省
kn 最佳
ko 小
kp 最后
kq 明
kr 晚
ks 景
kt 时间
ku 业
kv 水
kw 常
kx 当
ky 照
kz 电
l 用
la 目
lb 黑
lc 且
ld 同
le 置
lf 同样
lg 具有
lh 贱
li 巾
lj 周围
lk 四
ll 山
lm 败
ln 具体
lo 内
lp 贩
lq 内脏
lr 见
ls 赔
lt 幅度
